ID,Story,Description,Checklist,Comments,Labels,Due Date,Members
113,[LANDIS-II-Foundation/Extension-Base-Harvest]  -- PR6,"* Widgets replicator fails after initial run
https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/5",,We are going to ditch widgets in lieu of using R. No need to retest,,,
114,03 Aug 2017,"PRIORITIES

	1. SingleRepeat
https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/issues/22

	2. Salvage logging enhancement
https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/1
https://github.com/LANDIS-II-Foundation/Library-Harvest-Mgmt/pull/6

	3. Error with the input value for End Time
https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/issues/20

	4. Merge branch BRM_Updates into master 
https://github.com/LANDIS-II-Foundation/Extension-Biomass-Insects/issues/11

	5. Stand Ranking by highest average aboveground biomass
https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/issues/14

	6. Widgets fails after first run
https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/5

","Review / update priorities list from 19 July (above)
Last to-do items for Vincent
Austen's updated to-do items
Bruce's updated to-do items
Rob's updates from NC",,,,
115,6 Sept,* LANDISII 6.2 installer flags the need for .NET 3.5. When Windows sought these files during LANDISII installation ran into infinite search loop. Had to do a hard reboot and load .NET 3.5 separately (https://www.microsoft.com/en-us/download/details.aspx?id=21). This happened even though the network already has .NET 4 loaded.,"potential issue for new install LANDISII 6.2 (see above)==> request that new users install .NET 3.5 first?
CoreModel is distributed through GitHub ==> should this be standard for extensions? How does having installers on GitHub affect LANDIS Users Group membership requirement?
Library.Succession out of sync ==> src code updated to v2 on 15 Jun and *-v2.dll apparently rebuilt and added to Support-Dlls repo. But deploy/current-release/ in Library-Succession not rebuilt / not updated (still Landis.Library.Succession.dll) [already updated]
Running LANDIS-II (Windows) issue? ==> Microsoft is continuing to fade out Command Prompt in favor of PowerShell. The command-line utility, the option is no longer available on the Power User menu (Windows key + X), on the File menu for File Explorer, and even in the extended context menu (Shift + Right-click). Must add it back; not simple (https://www.windowscentral.com/how-add-open-command-prompt-window-here-back-context-menu-windows-10)",,,,
116,10 Aug,,"new mtg time ==> Wed?
Keep widgets in the pipeline? (Trello PR6)
Austen update ==>
Library-Succession ==> BMiranda's changes will reverberate (Trello PR8)
Rob updates ==>
Bruce updates ==> QAQC catchup by this weekend",,,,
117,16 Aug,"PRIORITIES (revised post-mtg)

	1.  Salvage logging enhancement (PR9)
https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/1
https://github.com/LANDIS-II-Foundation/Library-Harvest-Mgmt/pull/6

	2. Add ""highest"" back to ForestTypeTable 
       (PR11; This is a bug)
https://github.com/LANDIS-II-Foundation/Library-Harvest-Mgmt/issues/11

	3. StandRanking by highest average aboveground biomass
       (PR12; This is an enhancement, not a bug)
https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/issues/14

	4. Widgets fails after first run (PR6)
https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/5

	","Ongoing enhancement suggestions ==> Should we post an easily accessible  master list (in Support-Other?) and use this to parse items to the individual repos?
Move additional materials to Support-Other ==> Should we move some of the explicit how-to materials buried in the Developer's Blog here? (eg, Tortoise-based Pull requests, command-line GitHub, attaching the VS debugger)
New issue added to BiomassDrought ==> https://github.com/LANDIS-II-Foundation/Extension-Biomass-Drought/issues/7
Add timestamp to commit msg for changes to Support-DLLs ?
How do we want to handle reverberating rebuilds? (especially important in the Harvest Suite of extensions/libraries)
Updates from Rob, Austen, Bruce
Do we already have Brooke's ForestTable Highest issue already in the hopper?
Rebuild Library-Harvest-Mgmt-v2 ==> strange warnings; OK?",,,,
118,[LANDIS-II-Foundation/Extension-Biomass-Harvest] --PR12,"* Need to add StandRanking by average aboveground biomass (back)
https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/issues/14

* this an an enhancement not a bug",,,,,
119,30 Aug,,"LANDIS outputs ==> is it possible to track time series of cohorts and spp per raster cell (==site)? (ie outputs of timeseries .img maps with cohort and spp info)
do we really need xyz for versions?
do we want the PSU pay period 16 Sept - 15 Oct to be the last for Austen and Bruce? Other budget concerns?",,,,
120,[LANDIS-II-Foundation/Extension-Biomass-Succession] -- PR13,"* metadata not included in installer

https://github.com/LANDIS-II-Foundation/Extension-Biomass-Succession/issues/18",,Added; rebuilt installer,,,
121,[LANDIS-II-Foundation/Extension-Base-Fire] -- PR14,"* Slight modifications to Base Fire
https://github.com/LANDIS-II-Foundation/Extension-Base-Fire/issues/8

https://github.com/LANDIS-II-Foundation/Extension-Base-Fire/pull/9#issuecomment-324987929",,Does not need full QAQC but only .dll and installer rebuild,,,
123,template,,,,,,
125,20 Sept,"Austen assigned from the issues review on 20170912

(1) https://github.com/LANDIS-II-Foundation/Library-Metadata/issues/2

","Update on Library Succession and Harvest Suite rebuild
Update on LANDIS Foundation issues review
What about posting spp lists (along with all of their relevant life history attributes) to Support-Other?
Prioritize issue review items
General check-ins",,,,
127,LANDIS-II-Foundation/Extension-Dynamic-Fire-System --PR21,"https://github.com/LANDIS-II-Foundation/Extension-Dynamic-Fire-System/issues/1

If you run Dynamic Fire and you don't supply wind speed/ wind direction, then the extension should trigger an error. Right now it runs but produces no fire.",,,,,
128,[LANDIS-II-Foundation/Support-Other] -- PR18,https://github.com/LANDIS-II-Foundation/Support-Other/issues/1,,Used unix2dos converter to change all *.txt files; done,,,
129,[LANDIS-II-Foundation/Library-Harvest-Mgmt]  -- PR15b,,,Austens fix https://github.com/bmarron18/Library-Harvest-Mgmt/pull/3,,,
130,[LANDIS-II-Foundation/Library-Climate] --PR26,https://github.com/LANDIS-II-Foundation/Library-Climate/issues/9,,Austen did not work on,,,Austen Ruzicka
131,[LANDIS-II-Foundation/Library-Metadata] --PR16,* https://github.com/LANDIS-II-Foundation/Library-Metadata/issues/1 ==> a long-term project but can be worked on,,,,,
132,[LANDIS-II-Foundation/Extension-Biomass-Succession]  -- PR17,"https://github.com/LANDIS-II-Foundation/Extension-Biomass-Succession/issues/22

* rebuild and push Library-Biomass-Cohort to Support_Dlls (Bruce)",,Austen rebuilt .dll and pushed to Support-Dlls; Bruce (1) https://github.com/LANDIS-II-Foundation/Library-Biomass-Cohort/pull/4; (2) https://github.com/LANDIS-II-Foundation/Extension-Biomass-Succession/pull/23,,,
133,[LANDIS-II-Foundation/Extension-Base-Fire] --PR15a,https://github.com/LANDIS-II-Foundation/Extension-Base-Fire/issues/12,,,,,
134,27 Sept,"Austen assigned from the issues review on 20170927
https://github.com/LANDIS-II-Foundation/Library-Climate/issues/9
https://github.com/LANDIS-II-Foundation/Extension-Dynamic-Fire-System/issues/2
https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/3



","General check-ins
Assign items from repo review
Library Succession ==>",,,,
135,[LANDIS-II-Foundation/Extension-Base-BDA] -- PR22,"https://github.com/LANDIS-II-Foundation/Extension-Base-BDA/issues/5

check this ",,No exception thrown; close issue,,,
136,[LANDIS-II-Foundation/Extension-Base-Harvest]  -- PR19,"* https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/3
* plant only should be tested; already fixed?",,"Yes, PlantOnly is fixed in Biomass Harvest",,,
137,[LANDIS-II-Foundation/Extension-Base-Harvest] --PR23,"https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/28

From a diligent user:

""Error reading input value for Age or Age Range: AllExceptOldest is not a valid integer"". The model doesn't like AllExceptOldest keyword in my harvest file which I don't know why.",,No issue,,,
138,[LANDIS-II-Foundation/Extension-Biomass-Insects] -- PR24,"https://github.com/LANDIS-II-Foundation/Extension-Biomass-Insects/issues/16
Dead wood following mortality NOT ending up on the forest floor",,"tested Janes changes; look good. Ran w/ her code
",,,Austen Ruzicka
140,[LANDIS-II-Foundation/Extension-Biomass-Harvest] --PR25,"https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/issues/25
Assigned Aug 16

Try to reproduce",,Austen not able to reproduce error,,,Austen Ruzicka
142,[LANDIS-II-Foundation/Extension-NECN-Succession] --PR27,https://github.com/LANDIS-II-Foundation/Extension-NECN-Succession/issues/12,,Austen looked at QAAQC example ==>  climate library change prevents example from running,,,
143,[LANDIS-II-Foundation/Extension-Dynamic-Fire-System] --PR28,https://github.com/LANDIS-II-Foundation/Extension-Dynamic-Fire-System/issues/2,,"Austen fixed
https://github.com/LANDIS-II-Foundation/Extension-Dynamic-Fire-System/pull/7",,,Austen Ruzicka
145,[LANDIS-II-Foundation/Library-Succession] --PR30,"https://github.com/LANDIS-II-Foundation/Library-Succession/issues/17
Dll Name should be Library.Succession.Biomass-v5.dll 

Rob changed already; need to rebuild the Harvest Suite w/ the new Library.Succession; add Harvest Library hierarchy .txt doc to repos",,,,,
146,[github.com/CarenD/Extension-ForCS] -- PR33,"https://github.com/CarenD/Extension-ForCS

*Do either of you have the time to compile ForCS with Library-Succession-v2.dll  and send me a new Landis.Extension.Succession.ForC.dll that I can do some quick tests on?

I don't have an open contract with Sarah Beukema right now and I'm thinking this isn't a big request. Of course, if the tests fail I will have to get her on contract again.

If it passes, I would also be asking for a new setup.exe that we can release.",,"Tried -- no go. VS threw exception ""access denied""",,,
147,[LANDIS-II-Foundation/Core-Model] --PR29,https://github.com/LANDIS-II-Foundation/Core-Model/issues/28,,Austen did not look at this,,,Austen Ruzicka
148,[LANDIS-II-Foundation/Extension-Base-Harvest] -- PR31,"https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/28
AllExceptOldest Not Working",,,,,
149,[LANDIS-II-Foundation/Library-Biomass-Cohort] -- PR32,"https://github.com/LANDIS-II-Foundation/Library-Biomass-Cohort/pull/5
Changes to library-biomass-cohorts that make sure dead wood transfers to woody pool in partial disturbance called by ReduceOrKillBiomassCohorts; test Jane's changes

* will need to check other extensions that will have to be rebuilt (Extension.Biomass.Succession for sure. Others?)",,"Do not use Jane's changes!

Rob already solved problem:
Uncomment Lines 327-328 in SpeciesCohorts.cs",,,
